Year;Specimen;PathogenName;AntibioticName;Iso3;CountryTerritoryArea;WHORegionName;InterpretableAST;Resistant;ResistancePercentage
2023;Urinary tract;Klebsiella pneumoniae;Cefepime;ARE;United Arab Emirates;Eastern Mediterranean Region;11442;2067;18.065023597
2023;Urinary tract;Klebsiella pneumoniae;Cefotaxime;ARE;United Arab Emirates;Eastern Mediterranean Region;6055;1565;25.846407927
2023;Urinary tract;Klebsiella pneumoniae;Ceftazidime;ARE;United Arab Emirates;Eastern Mediterranean Region;12369;2788;22.540221522
2023;Urinary tract;Klebsiella pneumoniae;Ceftriaxone;ARE;United Arab Emirates;Eastern Mediterranean Region;7834;2062;26.321164156
2023;Urinary tract;Klebsiella pneumoniae;Ciprofloxacin;ARE;United Arab Emirates;Eastern Mediterranean Region;12461;2991;24.002889014
2023;Urinary tract;Klebsiella pneumoniae;Co-trimoxazole;ARE;United Arab Emirates;Eastern Mediterranean Region;12579;2802;22.275220606
2023;Urinary tract;Klebsiella pneumoniae;Colistin;ARE;United Arab Emirates;Eastern Mediterranean Region;490;128;26.12244898
2023;Urinary tract;Klebsiella pneumoniae;Ertapenem;ARE;United Arab Emirates;Eastern Mediterranean Region;11005;565;5.134029986
2023;Urinary tract;Klebsiella pneumoniae;Imipenem;ARE;United Arab Emirates;Eastern Mediterranean Region;11693;453;3.874112717
2023;Urinary tract;Klebsiella pneumoniae;Levofloxacin;ARE;United Arab Emirates;Eastern Mediterranean Region;2550;501;19.647058824
2023;Urinary tract;Klebsiella pneumoniae;Meropenem;ARE;United Arab Emirates;Eastern Mediterranean Region;12652;473;3.738539361
2023;Urinary tract;Klebsiella pneumoniae;Cefepime;ARG;Argentina;Region of the Americas;5151;2153;41.797709183
2023;Urinary tract;Klebsiella pneumoniae;Cefotaxime;ARG;Argentina;Region of the Americas;3133;1779;56.782636451
2023;Urinary tract;Klebsiella pneumoniae;Ceftazidime;ARG;Argentina;Region of the Americas;5206;2410;46.292739147
2023;Urinary tract;Klebsiella pneumoniae;Ciprofloxacin;ARG;Argentina;Region of the Americas;6361;2982;46.879421475
2023;Urinary tract;Klebsiella pneumoniae;Co-trimoxazole;ARG;Argentina;Region of the Americas;6079;2836;46.652409936
2023;Urinary tract;Klebsiella pneumoniae;Colistin;ARG;Argentina;Region of the Americas;1861;172;9.242342826
2023;Urinary tract;Klebsiella pneumoniae;Imipenem;ARG;Argentina;Region of the Americas;4880;1399;28.668032787
2023;Urinary tract;Klebsiella pneumoniae;Meropenem;ARG;Argentina;Region of the Americas;4924;1445;29.346060114
2023;Urinary tract;Klebsiella pneumoniae;Cefepime;AUS;Australia;Western Pacific Region;14733;716;4.859838458
2023;Urinary tract;Klebsiella pneumoniae;Cefotaxime;AUS;Australia;Western Pacific Region;1581;152;9.614168248
2023;Urinary tract;Klebsiella pneumoniae;Ceftazidime;AUS;Australia;Western Pacific Region;13676;946;6.917227259
2023;Urinary tract;Klebsiella pneumoniae;Ceftriaxone;AUS;Australia;Western Pacific Region;16515;1130;6.842264608
2023;Urinary tract;Klebsiella pneumoniae;Ciprofloxacin;AUS;Australia;Western Pacific Region;14040;1057;7.528490028
2023;Urinary tract;Klebsiella pneumoniae;Co-trimoxazole;AUS;Australia;Western Pacific Region;13894;1621;11.666906578
2023;Urinary tract;Klebsiella pneumoniae;Ertapenem;AUS;Australia;Western Pacific Region;1052;91;8.650190114
2023;Urinary tract;Klebsiella pneumoniae;Meropenem;AUS;Australia;Western Pacific Region;14934;54;0.361591
2023;Urinary tract;Klebsiella pneumoniae;Ciprofloxacin;BDI;Burundi;African Region;13;5;38.461538462
2023;Urinary tract;Klebsiella pneumoniae;Cefepime;BFA;Burkina Faso;African Region;104;64;61.538461538
2023;Urinary tract;Klebsiella pneumoniae;Cefotaxime;BFA;Burkina Faso;African Region;46;26;56.52173913
2023;Urinary tract;Klebsiella pneumoniae;Ceftazidime;BFA;Burkina Faso;African Region;85;52;61.176470588
2023;Urinary tract;Klebsiella pneumoniae;Ceftriaxone;BFA;Burkina Faso;African Region;209;128;61.244019139
2023;Urinary tract;Klebsiella pneumoniae;Ciprofloxacin;BFA;Burkina Faso;African Region;263;114;43.346007605
2023;Urinary tract;Klebsiella pneumoniae;Co-trimoxazole;BFA;Burkina Faso;African Region;175;106;60.571428571
2023;Urinary tract;Klebsiella pneumoniae;Ertapenem;BFA;Burkina Faso;African Region;30;10;33.333333333
2023;Urinary tract;Klebsiella pneumoniae;Imipenem;BFA;Burkina Faso;African Region;189;32;16.931216931
2023;Urinary tract;Klebsiella pneumoniae;Levofloxacin;BFA;Burkina Faso;African Region;39;16;41.025641026
2023;Urinary tract;Klebsiella pneumoniae;Meropenem;BFA;Burkina Faso;African Region;24;1;4.166666667
2023;Urinary tract;Klebsiella pneumoniae;Cefepime;BGD;Bangladesh;South-East Asia Region;135;63;46.666666667
2023;Urinary tract;Klebsiella pneumoniae;Cefotaxime;BGD;Bangladesh;South-East Asia Region;96;48;50.0
2023;Urinary tract;Klebsiella pneumoniae;Ceftazidime;BGD;Bangladesh;South-East Asia Region;148;78;52.702702703
2023;Urinary tract;Klebsiella pneumoniae;Ceftriaxone;BGD;Bangladesh;South-East Asia Region;123;55;44.715447154
2023;Urinary tract;Klebsiella pneumoniae;Ciprofloxacin;BGD;Bangladesh;South-East Asia Region;149;70;46.979865772
2023;Urinary tract;Klebsiella pneumoniae;Co-trimoxazole;BGD;Bangladesh;South-East Asia Region;136;57;41.911764706
